Twower,Response,Percentile,Standard Deviation,Votes
Meester Tweester,response 3,100.0,0,1
Tak Ajnin,this is the sixth response,54.44444444444444,0,0
Endr,01101100 01101111 01101111 01101011 01110011 00100000 01101100 01101001 01101011 01100101,44.44444444444444,0,0
Endr,this is a super long response just to see how line breaks work. I think this is enough. Actually that wasn't we have to go quite a bit longer to see how well it works,44.44444444444444,0,0
GreenTree,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,44.44444444444444,0,0
Yessoan,ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ,44.44444444444444,0,0
PingPongCupShots,this s a great response,44.44444444444444,0,0
The Mighty Midge,firey firey firey,44.44444444444444,0,0
Joseph Howard,response 2,44.44444444444444,0,0
Midnight Light,response 1,44.44444444444444,0,0
